question,expected_strings,final_answer,expected_hit,citation_hit,non_empty,says_insufficient,top_candidate_hit,candidate_hit_at_3,answer_is_only_source,manual_label,notes,top_candidate_sentence,top_candidate_file,top_candidate_page,top_candidate_chunk_id
How many participants are in the CHRIS baseline study?,"13,393|13 393|13393","The CHRIS baseline study has 13,393 participants. [A2]",1,1,1,0,1,1,0,,,"CHRIS study and sample description Use the following information to guide the language used to describe the CHRIS study population and the analytic sample used in developing the scientific publication: The CHRIS baseline study has 13,393 participants.",1772024710-chris-citation-guide_v1-4.pdf,3,1772024710-chris-citation-guide_v1-4_p3_c1
How many participants does the CHRIS baseline study have?,"13,393|13 393|13393","The CHRIS baseline study has 13,393 participants. [A1]",1,1,1,0,1,1,0,,,"CHRIS study and sample description Use the following information to guide the language used to describe the CHRIS study population and the analytic sample used in developing the scientific publication: The CHRIS baseline study has 13,393 participants.",1772024710-chris-citation-guide_v1-4.pdf,3,1772024710-chris-citation-guide_v1-4_p3_c1
What is the CHRIS data access policy?,data access policy|sample and data access policy|rules and procedures|accessing data and samples,This policy sets out the rules and procedures to be followed in accessing data and samples associated with the CHRIS study. [A1],1,1,1,0,1,1,0,,,This policy sets out the rules and procedures to be followed in accessing data and samples associated with the CHRIS study.,1674124649-data-and-sample-access-policy_v2.pdf,3,1674124649-data-and-sample-access-policy_v2_p3_c0
blood pressure,blood pressure|hypertension|systolic|diastolic,Has a doctor ever said that you have high blood pressure or hypertension? [A1],1,1,1,0,1,1,0,,,"235 Table 6.14: Hypertension & raised blood lipids (blood values) Date: 16/06/2020; Investigator: N/A; Number of observations: 13,389; Number of variables: 19 Variable Description – unit Sou rce Type Ver sion Value Coding aid Participant ID X S10 - - - x0bl01 Has a doctor ever said that you have high blood pressure or hypertension?",Codebook_CHRIS-baseline_distribute.pdf,235,Codebook_CHRIS-baseline_distribute_p235_c0
What is the correct full name of the CHRIS study?,Cooperative Health Research in South Tyrol,The correct full name of the CHRIS study is the Cooperative Health Research in South Tyrol (CHRIS) study. [A2],1,1,1,0,1,1,0,,,"les, the CHRIS study must be referred to as follows when first mentioned: – Cooperative Health Research in South Tyrol (CHRIS) study Later reference to the study can be shortened to “CHRIS study”.",1772024710-chris-citation-guide_v1-4.pdf,3,1772024710-chris-citation-guide_v1-4_p3_c1
What is the CHRIS NAFLD sub-study?,CHRIS-NAFLD|NAFLD recall by phenotype|Non-Alcoholic Fatty Liver Disease|population-based study,The CHRIS NAFLD sub-study is a population-based study aimed to assess the relationship between gut and oral microbiota and NAFLD in individuals with and without T2D. [A1],1,1,1,0,1,1,0,,,Discussion CHRIS-NAFLD is a population-based study aimed to assess the relationship between gut and oral microbiota and NAFLD in individuals with and without T2D.,s12967-019-02130-z.pdf,7,s12967-019-02130-z_p7_c2
What should publications using CHRIS baseline data cite?,Required references|must cite|baseline data or samples must cite,"Any scientific publication using CHRIS baseline data or samples must cite the following references: [A1] 1772024710-chris-citation-guide_v1-4.pdf, page 6, chunk 1772024710-chris-citation-guide_v1-4_p6_c2",1,1,1,0,1,1,0,,,Required references Any scientific publication using CHRIS baseline data or samples must cite the following references:,1772024710-chris-citation-guide_v1-4.pdf,6,1772024710-chris-citation-guide_v1-4_p6_c2
What sequencing data is available in CHRIS?,exome sequencing|genotyping|WES|genome sequencing|sequencing,"Data and samples collected in the CHRIS pilot follow-up, CHRIS COVID-19, CHRIS-NAFLD, and PAREGEN substu­ dies are described in Supplementary Table S6. [A1]",0,1,1,0,0,1,0,,,"Data and samples collected in the CHRIS pilot follow-up, CHRIS COVID-19, CHRIS-NAFLD, and PAREGEN substu­ dies are described in Supplementary Table S6.",dyaf064-3.pdf,5,dyaf064-3_p5_c4
Which omics data were collected?,metabolomics|proteomics|genotyping|multi-omics|molecular characterization,Biocrates p180- based quantitative measurements of 175 serum metabolites and lipids and HILIC-based untargeted metabolomics data were generated for 6872 participants [15].,1,1,1,0,1,1,0,,,Biocrates p180- based quantitative measurements of 175 serum metabolites and lipids and HILIC-based untargeted metabolomics data were generated for 6872 participants [15].,dyaf064-3.pdf,5,dyaf064-3_p5_c2
When were CHRIS baseline visits conducted?,2011|2018|baseline visits were conducted,Baseline visits were conducted from 2011 to 2018. [A2],1,1,1,0,1,1,0,,,"Among 3832 CHRIS baseline participants from 2011 to 2013, 67.1% participated in either pilot or core follow-up, with 3.9% deceased prior to invitation, 7.7% lost to follow-up, and 21.3% passive or active refusals.",dyaf064-3.pdf,2,dyaf064-3_p2_c5
What is the follow-up status?,follow-up|ongoing|continue until 2027|restarted in late 2021,"Follow-up restarted in late 2021 and is anticipated to continue until 2027, with up to nine daily participants. [A1]",1,1,1,0,1,1,0,,,"Follow- up restarted in late 2021 and is anticipated to continue until 2027, with up to nine daily participants.",dyaf064-3.pdf,2,dyaf064-3_p2_c4
Where was the CHRIS study conducted?,Vinschgau|South Tyrol|Val Venosta|Val Venosta/Vinschgau,"The CHRIS study was conducted in the Val Venosta/Vinschgau district (Bolzano/Bozen - South Tyrol, Italy) [A1].",1,1,1,0,1,1,0,,,"The following addition/optional text can also be included: – “The CHRIS study is an ongoing longitudinal, population-based cohort study in the general population of the Val Venosta/Vinschgau district (Bolzano/Bozen - South Tyrol, Italy).",1772024710-chris-citation-guide_v1-4.pdf,9,1772024710-chris-citation-guide_v1-4_p9_c1
What kind of samples were biobanked?,biobank|biobanked|samples|biological samples,Residual aliquots of biological samples were biobanked for future use (Table 1). [A1],1,1,1,0,1,1,0,,,Residual aliquots of biological samples were biobanked for future use (Table 1).,dyaf064-3.pdf,5,dyaf064-3_p5_c2
What does CHRIS collect about participants?,socio-demographic|clinical|molecular|sociodemographic|behavioral,"CHRIS collects a wide range of sociodemographic, behavioral, and clinical information, in addition to molecular markers related to health and healthy aging [A1].",1,1,1,0,1,1,0,,,"From the beginning, CHRIS has placed special emphasis on molecular markers related to health and healthy aging, also collecting a wide range of sociodemographic, behavioral, and clinical information.",dyaf064-3.pdf,3,dyaf064-3_p3_c0
What types of data does CHRIS collect?,socio-demographic|clinical|molecular|sociodemographic|behavioral,"CHRIS collects data on participating individuals, including raw data, aggregate data, and research results, as well as biological samples of various types. [A1]",0,1,1,0,0,0,0,,,CHRIS study (also referred to as “CHRIS”) shall mean the population-based study that aims to investigate the determinants of common diseases and health within the South Tyrolean population.,1674124649-data-and-sample-access-policy_v2.pdf,4,1674124649-data-and-sample-access-policy_v2_p4_c0
Which omics technologies are included in CHRIS?,genotyping|exome sequencing|metabolomics|proteomics|multi-omics,"[A2] dyaf064-3.pdf, page 7, chunk dyaf064-3_p7_c0
Machine learning clustering of renin-angiotensin- aldosterone system biomarkers from CHRIS was shown to identify specific antihypertensive treatments [27], and CHRIS data were used to develop programs for annotating untar­ geted metabolomics data [",1,1,1,0,1,1,0,,,"A key strength of CHRIS is in-depth, accurate measurement of a wide range of cardiovascular, metabolic, and neuropsy­ chiatric phenotypes through repeated in-person study visits combined with genotype and multi-omics data.",dyaf064-3.pdf,7,dyaf064-3_p7_c1
What is the current CHRIS follow-up status?,follow-up study is ongoing|ongoing|continue until 2027|restarted in late 2021|Follow up visits are ongoing,The current CHRIS follow-up status is that the core cohort follow-up started in 2019 and stopped during the COVID-19 pandemic after recruiting 243 participants [A3].,0,1,1,0,0,0,0,,,"– the CHRIS follow-up protocol on 13 June 2019 (56/2019) with updates approved on 16 October 2019, 13 October 2021, 19 July 2023, 20 March 2024, and 17 April 2024.",1772024710-chris-citation-guide_v1-4.pdf,6,1772024710-chris-citation-guide_v1-4_p6_c0
What research areas does the CHRIS cohort support?,precision health|research|collaboration|cardiovascular|metabolic|neuropsychiatric,"The CHRIS cohort supports research in the areas of health, lifestyle, and exposure data, as well as biobanking, DNA extraction, and molecular characterization, including genome and exome sequencing, metabolomics, and more. [A2]",1,1,1,0,0,1,0,,,"The following addition/optional text can also be included: – “The CHRIS study is an ongoing longitudinal, population-based cohort study in the general population of the Val Venosta/Vinschgau district (Bolzano/Bozen - South Tyrol, Italy).",1772024710-chris-citation-guide_v1-4.pdf,9,1772024710-chris-citation-guide_v1-4_p9_c1
