question,expected_strings,first_relevant_rank,hit_at_1,hit_at_3,hit_at_5,mrr,top1_file,top1_page,top1_chunk_id,top1_rrf_score,top1_bm25_rank,top1_embedding_rank
How many participants are in the CHRIS baseline study?,"13,393|13 393|13393",1,1,1,1,1.0,dyaf064-3.pdf,2,dyaf064-3_p2_c0,0.031544957774465976,1,6
CHRIS baseline participants,"13,393|13 393|13393",2,0,1,1,0.5,dyaf064-3.pdf,2,dyaf064-3_p2_c4,0.032266458495966696,3,1
What is the CHRIS data access policy?,data access policy|sample and data access policy,1,1,1,1,1.0,1674124649-data-and-sample-access-policy_v2.pdf,1,1674124649-data-and-sample-access-policy_v2_p1_c0,0.03278688524590164,1,1
blood pressure,Blood pressure|blood pressure|BP,1,1,1,1,1.0,Codebook_CHRIS-baseline_distribute.pdf,235,Codebook_CHRIS-baseline_distribute_p235_c0,0.031754032258064516,2,4
What is the correct full name of the CHRIS study?,Cooperative Health Research in South Tyrol,1,1,1,1,1.0,1772024710-chris-citation-guide_v1-4.pdf,3,1772024710-chris-citation-guide_v1-4_p3_c0,0.03278688524590164,1,1
What is the CHRIS NAFLD sub-study?,CHRIS-NAFLD|NAFLD recall by phenotype|Non-Alcoholic Fatty Liver Disease,1,1,1,1,1.0,1772024710-chris-citation-guide_v1-4.pdf,4,1772024710-chris-citation-guide_v1-4_p4_c3,0.03278688524590164,1,1
What should publications using CHRIS baseline data cite?,Required references|must cite|baseline data or samples must cite,1,1,1,1,1.0,1772024710-chris-citation-guide_v1-4.pdf,6,1772024710-chris-citation-guide_v1-4_p6_c2,0.03278688524590164,1,1
What sequencing data is available in CHRIS?,exome sequencing|genotyping|WES,1,1,1,1,1.0,dyaf064-3.pdf,8,dyaf064-3_p8_c6,0.030158730158730156,10,3
Which omics data were collected?,metabolomics|proteomics|genotyping,1,1,1,1,1.0,dyaf064-3.pdf,5,dyaf064-3_p5_c2,0.03036576949620428,9,3
What is the baseline period of CHRIS?,2011|2018,1,1,1,1,1.0,Codebook_CHRIS-baseline_distribute.pdf,1,Codebook_CHRIS-baseline_distribute_p1_c0,0.03252247488101534,2,1
What is the follow-up status?,follow-up|ongoing,1,1,1,1,1.0,dyaf064-3.pdf,2,dyaf064-3_p2_c4,0.03252247488101534,2,1
Where was the CHRIS study conducted?,Vinschgau|South Tyrol,1,1,1,1,1.0,1772024710-chris-citation-guide_v1-4.pdf,9,1772024710-chris-citation-guide_v1-4_p9_c1,0.032266458495966696,3,1
What kind of samples were biobanked?,biobank|samples,1,1,1,1,1.0,dyaf064-3.pdf,5,dyaf064-3_p5_c2,0.03200204813108039,2,3
What does CHRIS collect about participants?,socio-demographic|clinical|molecular,3,0,1,1,0.3333333333333333,s12967-015-0704-9.pdf,2,s12967-015-0704-9_p2_c3,0.03131881575727918,1,7
What types of data does CHRIS collect?,socio-demographic|clinical|molecular,5,0,0,1,0.2,1674124649-data-and-sample-access-policy_v2.pdf,3,1674124649-data-and-sample-access-policy_v2_p3_c0,0.031099324975891997,1,8
Which omics technologies are included in CHRIS?,genotyping|exome sequencing|metabolomics|proteomics,2,0,1,1,0.5,dyaf064-3.pdf,7,dyaf064-3_p7_c1,0.029957522915269395,3,11
Is the CHRIS follow-up study completed?,follow-up study is ongoing|ongoing,3,0,1,1,0.3333333333333333,dyaf064-3.pdf,2,dyaf064-3_p2_c4,0.03252247488101534,2,1
What is the CHRIS cohort used for?,precision health|research|collaboration,2,0,1,1,0.5,1772024710-chris-citation-guide_v1-4.pdf,3,1772024710-chris-citation-guide_v1-4_p3_c2,0.03225806451612903,2,2
