id,category,question,language,answerable,expected_facts,expected_sources
D01,measurement,"With which device was blood pressure measured in CHRIS?","en","yes","Omron Monitor M10-IT||CNAP Monitor 500","Codebook_CHRIS-baseline_distribute.pdf"
D02,measurement,"How many measurements are used for the mean systolic blood pressure variable?","en","yes","3 measurements","Codebook_CHRIS-baseline_distribute.pdf"
D03,baseline,"What data were collected during the CHRIS baseline visit?","en","yes","blood||urine||blood pressure||anthropometry","dyaf064-3.pdf"
D04,publication,"What requirements should a scientific publication using CHRIS data follow?","en","yes","funding statement||acknowledgements||ethics statement","1772024710-chris-citation-guide_v1-4.pdf||1772117868-chris_publication_checklist_v1.pdf"
D05,access,"How can researchers obtain access to CHRIS data or samples?","en","yes","application||Access Committee||CHRIS portal","1674124649-data-and-sample-access-policy_v2.pdf"
D06,measurement,"Quale dispositivo è stato usato per misurare la pressione sanguigna in CHRIS?","it","yes","Omron Monitor M10-IT||CNAP Monitor 500","Codebook_CHRIS-baseline_distribute.pdf"
D07,measurement,"Mit welchem Gerät wurde der Blutdruck in der CHRIS-Studie gemessen?","de","yes","Omron Monitor M10-IT||CNAP Monitor 500","Codebook_CHRIS-baseline_distribute.pdf"
D08,measurement,"What unit is used for systolic blood pressure in the CHRIS codebook?","en","yes","mm/Hg","Codebook_CHRIS-baseline_distribute.pdf"
D09,measurement,"What unit is used for diastolic blood pressure in the CHRIS codebook?","en","yes","mm/Hg","Codebook_CHRIS-baseline_distribute.pdf"
D10,measurement,"How many measurements are used for the mean diastolic blood pressure variable?","en","yes","3 measurements","Codebook_CHRIS-baseline_distribute.pdf"
D11,measurement,"Was continuous blood pressure measured in CHRIS?","en","yes","20-minute||continuous","dyaf064-3.pdf"
D12,measurement,"Was continuous blood pressure synchronized with ECG?","en","yes","synchronized||ECG","dyaf064-3.pdf"
D13,publication,"What study name should authors use when referring to CHRIS?","en","yes","Cooperative Health Research in South Tyrol||CHRIS","1772024710-chris-citation-guide_v1-4.pdf"
D14,publication,"What authorship guidelines should CHRIS publications follow?","en","yes","ICMJE","1772024710-chris-citation-guide_v1-4.pdf"
D15,publication,"What terms are recommended for describing the CHRIS study?","en","yes","cohort study||population-based study||participants","1772024710-chris-citation-guide_v1-4.pdf"
D16,publication,"Must the final published version be submitted to the CHRIS Access Committee?","en","yes","final published version||Access Committee||archiving","1772024710-chris-citation-guide_v1-4.pdf"
D17,access,"Who can obtain CHRIS data or samples for technical purposes?","en","yes","IfB staff||Group Leader","1674124649-data-and-sample-access-policy_v2.pdf"
D18,access,"What should happen to leftover CHRIS samples after a research project?","en","yes","returned||destroyed","1674124649-data-and-sample-access-policy_v2.pdf"
D19,abstention,"What MRI scanner model was used during the CHRIS baseline visit?","en","no","",""
D20,abstention,"What was the exact room temperature during CHRIS baseline examinations?","en","no","",""
D21,abstention,"Which individual researcher performed each blood pressure measurement?","en","no","",""
