question,expected_strings,first_relevant_rank,hit_at_1,hit_at_3,hit_at_5,mrr,rank1_chunk_id,rank1_file,rank1_page,rank1_score,rank2_chunk_id,rank2_file,rank2_page,rank2_score,rank3_chunk_id,rank3_file,rank3_page,rank3_score,rank4_chunk_id,rank4_file,rank4_page,rank4_score,rank5_chunk_id,rank5_file,rank5_page,rank5_score
How many participants are in the CHRIS baseline study?,"13,393|13 393|13393",1,1,1,1,1.0,1772024710-chris-citation-guide_v1-4_p3_c1,1772024710-chris-citation-guide_v1-4.pdf,3,0.23627363042971666,1772117868-chris_publication_checklist_v1_p1_c2,1772117868-chris_publication_checklist_v1.pdf,1,0.17462939911429592,1772024710-chris-citation-guide_v1-4_p4_c2,1772024710-chris-citation-guide_v1-4.pdf,4,0.15729718437423573,s12967-019-02130-z_p2_c5,s12967-019-02130-z.pdf,2,0.14727360092338188,dyaf064-3_p2_c0,dyaf064-3.pdf,2,0.1465119853387276
CHRIS baseline participants,"13,393|13 393|13393",2,0,1,1,0.5,dyaf064-3_p2_c4,dyaf064-3.pdf,2,0.20148058737412872,dyaf064-3_p2_c0,dyaf064-3.pdf,2,0.19766413721050397,Codebook_CHRIS-baseline_distribute_p1_c0,Codebook_CHRIS-baseline_distribute.pdf,1,0.15669832794737118,1772117868-chris_publication_checklist_v1_p1_c1,1772117868-chris_publication_checklist_v1.pdf,1,0.15606592247014417,dyaf064-3_p5_c2,dyaf064-3.pdf,5,0.15328964978599127
What is the CHRIS data access policy?,data access policy|sample and data access policy,1,1,1,1,1.0,1674124649-data-and-sample-access-policy_v2_p1_c0,1674124649-data-and-sample-access-policy_v2.pdf,1,0.47314560384202997,1674124649-data-and-sample-access-policy_v2_p1_c1,1674124649-data-and-sample-access-policy_v2.pdf,1,0.23075829029203632,1772024710-chris-citation-guide_v1-4_p6_c2,1772024710-chris-citation-guide_v1-4.pdf,6,0.22924631238347964,1674124649-data-and-sample-access-policy_v2_p7_c0,1674124649-data-and-sample-access-policy_v2.pdf,7,0.2282544711342636,1674124649-data-and-sample-access-policy_v2_p7_c1,1674124649-data-and-sample-access-policy_v2.pdf,7,0.2114653653360696
blood pressure,Blood pressure|blood pressure|BP,1,1,1,1,1.0,Codebook_CHRIS-baseline_distribute_p235_c0,Codebook_CHRIS-baseline_distribute.pdf,235,0.22908905091025816,s12967-019-02130-z_p2_c6,s12967-019-02130-z.pdf,2,0.21642546148140698,dyaf064-3_p6_c2,dyaf064-3.pdf,6,0.149375010664811,Codebook_CHRIS-baseline_distribute_p2_c2,Codebook_CHRIS-baseline_distribute.pdf,2,0.12956092433719008,dyaf064-3_p5_c0,dyaf064-3.pdf,5,0.11509252855944671
What is the correct full name of the CHRIS study?,Cooperative Health Research in South Tyrol,1,1,1,1,1.0,1772024710-chris-citation-guide_v1-4_p3_c1,1772024710-chris-citation-guide_v1-4.pdf,3,0.36414939149499453,1772024710-chris-citation-guide_v1-4_p3_c0,1772024710-chris-citation-guide_v1-4.pdf,3,0.3234599778389573,s12967-019-02130-z_p2_c5,s12967-019-02130-z.pdf,2,0.24999293160794614,1772024710-chris-citation-guide_v1-4_p9_c1,1772024710-chris-citation-guide_v1-4.pdf,9,0.22979413138487786,1772117868-chris_publication_checklist_v1_p1_c2,1772117868-chris_publication_checklist_v1.pdf,1,0.22464654630433173
What is the CHRIS NAFLD sub-study?,CHRIS-NAFLD|NAFLD recall by phenotype|Non-Alcoholic Fatty Liver Disease,1,1,1,1,1.0,1772024710-chris-citation-guide_v1-4_p4_c3,1772024710-chris-citation-guide_v1-4.pdf,4,0.4304014497327092,1772024710-chris-citation-guide_v1-4_p4_c2,1772024710-chris-citation-guide_v1-4.pdf,4,0.31218726546144615,s12967-019-02130-z_p2_c5,s12967-019-02130-z.pdf,2,0.22503407599127712,1772117868-chris_publication_checklist_v1_p1_c2,1772117868-chris_publication_checklist_v1.pdf,1,0.2235547065765834,1772024710-chris-citation-guide_v1-4_p5_c0,1772024710-chris-citation-guide_v1-4.pdf,5,0.22128571091890403
What should publications using CHRIS baseline data cite?,Required references|must cite|baseline data or samples must cite,1,1,1,1,1.0,1772024710-chris-citation-guide_v1-4_p6_c2,1772024710-chris-citation-guide_v1-4.pdf,6,0.2984676087340762,1772024710-chris-citation-guide_v1-4_p2_c0,1772024710-chris-citation-guide_v1-4.pdf,2,0.20881144427412487,Codebook_CHRIS-baseline_distribute_p1_c0,Codebook_CHRIS-baseline_distribute.pdf,1,0.1967660007602396,1772024710-chris-citation-guide_v1-4_p5_c1,1772024710-chris-citation-guide_v1-4.pdf,5,0.17607650258705154,1772024710-chris-citation-guide_v1-4_p8_c2,1772024710-chris-citation-guide_v1-4.pdf,8,0.17045671677801236
What sequencing data is available in CHRIS?,exome sequencing|genotyping|WES,1,1,1,1,1.0,Codebook_CHRIS-baseline_distribute_p12_c0,Codebook_CHRIS-baseline_distribute.pdf,12,0.3267228442260475,1674124649-data-and-sample-access-policy_v2_p7_c0,1674124649-data-and-sample-access-policy_v2.pdf,7,0.14554543249226434,1674124649-data-and-sample-access-policy_v2_p4_c0,1674124649-data-and-sample-access-policy_v2.pdf,4,0.14395182116434252,1772024710-chris-citation-guide_v1-4_p2_c0,1772024710-chris-citation-guide_v1-4.pdf,2,0.13154265744743004,dyaf064-3_p8_c2,dyaf064-3.pdf,8,0.11456256340271995
Which omics data were collected?,metabolomics|proteomics|genotyping,1,1,1,1,1.0,1674124649-data-and-sample-access-policy_v2_p7_c0,1674124649-data-and-sample-access-policy_v2.pdf,7,0.09720811099173357,dyaf064-3_p7_c1,dyaf064-3.pdf,7,0.08268286796134514,1674124649-data-and-sample-access-policy_v2_p15_c0,1674124649-data-and-sample-access-policy_v2.pdf,15,0.08160213176083955,1674124649-data-and-sample-access-policy_v2_p10_c0,1674124649-data-and-sample-access-policy_v2.pdf,10,0.07640589475664784,1674124649-data-and-sample-access-policy_v2_p4_c0,1674124649-data-and-sample-access-policy_v2.pdf,4,0.07133079480686104
What is the baseline period of CHRIS?,2011|2018,5,0,0,1,0.2,1772117868-chris_publication_checklist_v1_p1_c0,1772117868-chris_publication_checklist_v1.pdf,1,0.16699931312296176,1772117868-chris_publication_checklist_v1_p1_c1,1772117868-chris_publication_checklist_v1.pdf,1,0.1645953314593953,1772024710-chris-citation-guide_v1-4_p2_c0,1772024710-chris-citation-guide_v1-4.pdf,2,0.16162666030123973,1772024710-chris-citation-guide_v1-4_p3_c1,1772024710-chris-citation-guide_v1-4.pdf,3,0.14109915245887017,Codebook_CHRIS-baseline_distribute_p198_c0,Codebook_CHRIS-baseline_distribute.pdf,198,0.1316641512307206
