question,expected_strings,first_relevant_rank,hit_at_1,hit_at_3,hit_at_5,mrr,rank1_chunk_id,rank1_file,rank1_page,rank1_score,rank2_chunk_id,rank2_file,rank2_page,rank2_score,rank3_chunk_id,rank3_file,rank3_page,rank3_score,rank4_chunk_id,rank4_file,rank4_page,rank4_score,rank5_chunk_id,rank5_file,rank5_page,rank5_score
How many participants are in the CHRIS baseline study?,"13,393|13 393|13393",1,1,1,1,1.0,dyaf064-3_p2_c0,dyaf064-3.pdf,2,13.130407578899128,1772024710-chris-citation-guide_v1-4_p3_c1,1772024710-chris-citation-guide_v1-4.pdf,3,12.724959681692152,s12967-019-02130-z_p1_c1,s12967-019-02130-z.pdf,1,12.602730383458065,s12967-019-02130-z_p2_c5,s12967-019-02130-z.pdf,2,12.569860138763506,s12967-019-02130-z_p5_c4,s12967-019-02130-z.pdf,5,12.275720061821085
CHRIS baseline participants,"13,393|13 393|13393",2,0,1,1,0.5,dyaf064-3_p5_c2,dyaf064-3.pdf,5,10.936141401204683,dyaf064-3_p2_c0,dyaf064-3.pdf,2,10.717644071210149,dyaf064-3_p2_c4,dyaf064-3.pdf,2,10.292822136644332,dyaf064-3_p7_c4,dyaf064-3.pdf,7,10.244372998690068,s12967-019-02130-z_p3_c0,s12967-019-02130-z.pdf,3,9.835646336610882
What is the CHRIS data access policy?,data access policy|sample and data access policy,1,1,1,1,1.0,1674124649-data-and-sample-access-policy_v2_p1_c0,1674124649-data-and-sample-access-policy_v2.pdf,1,21.25234722950279,1772024710-chris-citation-guide_v1-4_p6_c2,1772024710-chris-citation-guide_v1-4.pdf,6,17.350916930820752,1674124649-data-and-sample-access-policy_v2_p3_c0,1674124649-data-and-sample-access-policy_v2.pdf,3,16.00700248833321,1772024710-chris-citation-guide_v1-4_p6_c1,1772024710-chris-citation-guide_v1-4.pdf,6,13.507389912124449,1674124649-data-and-sample-access-policy_v2_p8_c0,1674124649-data-and-sample-access-policy_v2.pdf,8,12.46577933257998
blood pressure,Blood pressure|blood pressure|BP,1,1,1,1,1.0,s12967-019-02130-z_p2_c6,s12967-019-02130-z.pdf,2,10.065594461817401,Codebook_CHRIS-baseline_distribute_p235_c0,Codebook_CHRIS-baseline_distribute.pdf,235,9.134839344056632,Codebook_CHRIS-baseline_distribute_p2_c2,Codebook_CHRIS-baseline_distribute.pdf,2,8.500126840265285,dyaf064-3_p6_c2,dyaf064-3.pdf,6,8.392083336638564,Codebook_CHRIS-baseline_distribute_p5_c0,Codebook_CHRIS-baseline_distribute.pdf,5,7.428114991188955
What is the correct full name of the CHRIS study?,Cooperative Health Research in South Tyrol,1,1,1,1,1.0,1772024710-chris-citation-guide_v1-4_p3_c0,1772024710-chris-citation-guide_v1-4.pdf,3,14.32592479580432,1772024710-chris-citation-guide_v1-4_p3_c1,1772024710-chris-citation-guide_v1-4.pdf,3,10.996883996979198,1772024710-chris-citation-guide_v1-4_p4_c2,1772024710-chris-citation-guide_v1-4.pdf,4,10.298828389662525,s12967-015-0704-9_p1_c4,s12967-015-0704-9.pdf,1,9.21094964064631,Codebook_CHRIS-baseline_distribute_p374_c0,Codebook_CHRIS-baseline_distribute.pdf,374,9.206359149770522
What is the CHRIS NAFLD sub-study?,CHRIS-NAFLD|NAFLD recall by phenotype|Non-Alcoholic Fatty Liver Disease,1,1,1,1,1.0,1772024710-chris-citation-guide_v1-4_p4_c3,1772024710-chris-citation-guide_v1-4.pdf,4,18.01705413278018,1772024710-chris-citation-guide_v1-4_p4_c2,1772024710-chris-citation-guide_v1-4.pdf,4,16.425928735445865,1772117868-chris_publication_checklist_v1_p1_c2,1772117868-chris_publication_checklist_v1.pdf,1,12.861851186934594,s12967-019-02130-z_p7_c2,s12967-019-02130-z.pdf,7,12.641262486376652,1772117868-chris_publication_checklist_v1_p2_c0,1772117868-chris_publication_checklist_v1.pdf,2,12.407136219257318
What should publications using CHRIS baseline data cite?,Required references|must cite|baseline data or samples must cite,1,1,1,1,1.0,1772024710-chris-citation-guide_v1-4_p6_c2,1772024710-chris-citation-guide_v1-4.pdf,6,22.53449940014935,1772024710-chris-citation-guide_v1-4_p5_c1,1772024710-chris-citation-guide_v1-4.pdf,5,20.175012064891035,1772024710-chris-citation-guide_v1-4_p2_c0,1772024710-chris-citation-guide_v1-4.pdf,2,19.98255397096424,1772024710-chris-citation-guide_v1-4_p3_c0,1772024710-chris-citation-guide_v1-4.pdf,3,19.719382003071306,1772117868-chris_publication_checklist_v1_p1_c0,1772117868-chris_publication_checklist_v1.pdf,1,19.375392535039392
What sequencing data is available in CHRIS?,exome sequencing|genotyping|WES,1,1,1,1,1.0,Codebook_CHRIS-baseline_distribute_p12_c0,Codebook_CHRIS-baseline_distribute.pdf,12,15.0773739872664,dyaf064-3_p5_c0,dyaf064-3.pdf,5,10.511749387850884,1772024710-chris-citation-guide_v1-4_p9_c0,1772024710-chris-citation-guide_v1-4.pdf,9,9.984320633992986,dyaf064-3_p5_c4,dyaf064-3.pdf,5,9.663101592696837,1674124649-data-and-sample-access-policy_v2_p13_c0,1674124649-data-and-sample-access-policy_v2.pdf,13,9.495703774663678
Which omics data were collected?,metabolomics|proteomics|genotyping,3,0,1,1,0.3333333333333333,1674124649-data-and-sample-access-policy_v2_p10_c0,1674124649-data-and-sample-access-policy_v2.pdf,10,7.63315103636331,dyaf064-3_p7_c1,dyaf064-3.pdf,7,7.285110156618888,dyaf064-3_p1_c3,dyaf064-3.pdf,1,7.01707904611611,dyaf064-3_p5_c4,dyaf064-3.pdf,5,6.997325075559514,s12967-015-0704-9_p5_c1,s12967-015-0704-9.pdf,5,6.830296750196976
What is the baseline period of CHRIS?,2011|2018,2,0,1,1,0.5,dyaf064-3_p4_c2,dyaf064-3.pdf,4,8.598630624565773,Codebook_CHRIS-baseline_distribute_p1_c0,Codebook_CHRIS-baseline_distribute.pdf,1,8.089853491539838,dyaf064-3_p7_c4,dyaf064-3.pdf,7,7.729169694853671,1772024710-chris-citation-guide_v1-4_p6_c2,1772024710-chris-citation-guide_v1-4.pdf,6,7.541080333080018,dyaf064-3_p2_c0,dyaf064-3.pdf,2,7.16326216944652
