question,expected_strings,first_relevant_answer_rank,answer_hit_at_1,answer_hit_at_3,answer_mrr,top1_answer_sentence,top1_answer_score,top1_file,top1_page,top1_chunk_id
How many CHRIS baseline participants were recruited?,"13,393|13 393|13393",,0,0,0.0,"Among 3832 CHRIS baseline participants from 2011 to 2013,",0.8534911870956421,dyaf064-3.pdf,2,dyaf064-3_p2_c4
CHRIS baseline participants,"13,393|13 393|13393",,0,0,0.0,Measures conducted among all participants during the baseline CHRIS study center visit at the Schlanders/Silandro Figure 1.,0.8698726892471313,dyaf064-3.pdf,3,dyaf064-3_p3_c0
What is the CHRIS data access policy?,data access policy|sample and data access policy|rules and procedures|accessing data and samples,1,1,1,1.0,This policy sets out the rules and procedures to be followed in accessing data and samples associated with the CHRIS study.,0.8735010623931885,1674124649-data-and-sample-access-policy_v2.pdf,3,1674124649-data-and-sample-access-policy_v2_p3_c0
blood pressure,blood pressure|hypertension|systolic|diastolic,1,1,1,1.0,"235 Table 6.14: Hypertension & raised blood lipids (blood values) Date: 16/06/2020; Investigator: N/A; Number of observations: 13,389; Number of variables: 19 Variable Description – unit Sou rce Type Ver sion Value Coding aid Participant ID X S10 - - - x0bl01 Has a doctor ever said that you have high blood pressure or hypertension?",0.8773384094238281,Codebook_CHRIS-baseline_distribute.pdf,235,Codebook_CHRIS-baseline_distribute_p235_c0
What is the correct full name of the CHRIS study?,Cooperative Health Research in South Tyrol,2,0,1,0.5,"The following addition/optional text can also be included: – “The CHRIS study is an ongoing longitudinal, population-based cohort study in the general population of the Val Venosta/Vinschgau district (Bolzano/Bozen - South Tyrol, Italy).",0.8867220878601074,1772024710-chris-citation-guide_v1-4.pdf,9,1772024710-chris-citation-guide_v1-4_p9_c1
What is the CHRIS NAFLD sub-study?,CHRIS-NAFLD|NAFLD recall by phenotype|Non-Alcoholic Fatty Liver Disease,1,1,1,1.0,Discussion CHRIS-NAFLD is a population-based study aimed to assess the relationship between gut and oral microbiota and NAFLD in individuals with and without T2D.,0.8942345380783081,s12967-019-02130-z.pdf,7,s12967-019-02130-z_p7_c2
What should publications using CHRIS baseline data cite?,Required references|must cite|baseline data or samples must cite,1,1,1,1.0,Required references Any scientific publication using CHRIS baseline data or samples must cite the following references:,0.8950784206390381,1772024710-chris-citation-guide_v1-4.pdf,6,1772024710-chris-citation-guide_v1-4_p6_c2
What sequencing data is available in CHRIS?,exome sequencing|genotyping|WES|genome sequencing|sequencing,2,0,1,0.5,"Data and samples collected in the CHRIS pilot follow-up, CHRIS COVID-19, CHRIS-NAFLD, and PAREGEN substu­ dies are described in Supplementary Table S6.",0.8593403100967407,dyaf064-3.pdf,5,dyaf064-3_p5_c4
Which omics data were collected?,metabolomics|proteomics|genotyping|multi-omics|molecular characterization,2,0,1,0.5,"Non-stimulated saliva samples were collected using the Omnigene oral collection device (OM-501, DNA Gen- otek, USA) at the study center.",0.8468422293663025,s12967-019-02130-z.pdf,4,s12967-019-02130-z_p4_c3
When were CHRIS baseline visits conducted?,2011|2018|baseline visits were conducted,1,1,1,1.0,"Among 3832 CHRIS baseline participants from 2011 to 2013, 67.1% participated in either pilot or core follow-up, with 3.9% deceased prior to invitation, 7.7% lost to follow-up, and 21.3% passive or active refusals.",0.8714100122451782,dyaf064-3.pdf,2,dyaf064-3_p2_c5
